Nazwisko;Imie;Osiagniecia;Zachowanie;JP;Mat;Biol;Geog;GHP;GHH;GMM;GMP;GJP
Lang;Maja;0;5;2;4;2;6;27;56;54;99;27
Glowacz;Patryk;6;4;5;6;2;5;56;47;34;65;87
Olstowska;Klaudia;3;5;6;4;6;6;79;52;11;9;83
Kik;Michalina;6;5;5;5;4;4;34;15;40;85;52
Chajecki;Karol;1;3;4;6;6;3;52;36;41;96;66
Wizniewska;Amelia;5;4;6;5;5;3;41;35;54;14;29
Szewczyk;Edyta;5;3;5;5;3;2;25;24;28;21;24
Basek;Wiktoria;3;4;2;5;2;6;80;86;29;32;85
Stiburska;Gabriela;4;3;5;6;3;4;68;19;94;92;62
Dreger;Wanessa;4;2;5;2;5;4;74;85;21;33;9
Kowalska;Maria;0;2;3;5;4;6;40;46;1;98;39
Sorr;Iga;7;2;2;2;2;2;1;25;33;91;60
Marjanski;Leon;3;3;6;4;4;3;87;50;61;48;86
Sokolnicka;Inga;5;6;4;2;4;3;100;74;76;47;29
Sciebur;Damian;1;6;5;2;5;5;59;30;96;53;87
Polubinski;Jakub;6;2;6;4;4;6;51;98;20;37;54
Ogrodowczyk;Kacper;7;6;2;6;2;6;75;60;80;86;91
Makarski;Lukasz;5;3;2;6;2;2;28;28;14;52;35
Freitag;Pawel;8;3;5;5;5;6;63;66;71;11;57
Aftanas;Mariusz;5;5;5;5;2;6;45;94;45;100;98
Polonska;Justyna;6;5;4;5;6;3;90;98;10;95;63
Piwowarska;Kaja;7;4;6;5;4;6;3;73;19;42;88
Pomierska;Justyna;0;2;3;3;5;2;82;61;59;51;71
Kurowska;Karolina;0;5;6;4;2;6;8;13;38;1;39
Sulek;Fabian;4;2;4;4;4;3;25;86;7;3;94
Uszkiewicz;Anna;6;3;3;3;2;3;53;53;15;53;80
Wentland;Baniamin;3;3;4;2;6;4;22;48;26;43;10
Zebala;Adam;3;2;4;3;2;5;90;97;7;59;100
Chudzik;Wiktoria;4;2;4;5;4;2;9;47;56;89;55
Jedrzejewski;Mikolaj;4;2;2;6;4;3;47;8;77;85;10
Hajdamowicz;Nina;4;5;4;4;5;3;59;89;32;80;38
Ropel;Jacek;8;5;5;4;6;2;60;31;86;76;64
Budzynski;Tadeusz;3;4;3;5;5;5;53;78;73;89;32
Zbieska;Agata;0;4;2;2;2;6;88;43;91;4;78
Skrzynska;Izabela;1;5;4;6;4;2;4;97;75;86;10
Karmazyn;Mira;7;4;3;6;3;2;28;75;15;6;33
Bienkowska;Karolina;4;2;4;6;5;5;29;92;99;79;8
Chabowski;Szymon;2;5;3;2;3;6;59;29;92;96;77
Krol;Malgorzata;0;6;6;5;4;3;98;79;65;41;48
Markiewicz;Lila;2;2;6;5;6;3;74;25;78;6;69
Dalek;Szymon;3;2;4;5;2;5;12;96;66;17;86
Romanowska;Olga;3;5;5;3;2;2;53;89;16;27;62
Klos;Michal;4;3;6;4;6;6;90;31;75;1;58
Kedzierski;Michal;0;3;3;4;2;4;92;47;27;40;35
Irek;Olaf;6;4;3;2;3;5;57;67;51;92;72
Smal;Franciszek;0;6;3;6;6;4;74;60;83;39;97
Muczynski;Kasjan;7;6;2;3;2;3;21;16;9;49;47
Butajlo;Wojciech;8;3;5;6;2;4;73;70;71;84;81
Kass;Milena;2;4;6;4;5;2;44;8;100;54;77
Jenda;Mikolaj;6;3;5;4;3;2;78;17;48;42;85
Markowski;Kuba;0;3;6;2;5;2;72;53;43;72;52
M¾dry;Krzysztof;7;5;6;2;5;4;15;64;20;59;52
Ostwald;Katarzyna;1;2;3;3;2;6;35;20;46;84;11
Begdon;Zuzanna;0;2;2;5;6;2;87;18;93;62;95
Panfil;Julian;6;2;4;3;3;2;72;79;98;86;31
Wnuczynska;Alicja;3;3;3;3;5;4;71;68;38;8;98
Rychter;Julia;8;2;2;3;4;4;96;47;90;24;96
Gasinski;Pawel;3;3;3;3;4;5;18;94;29;50;54
Toczek;Antonina;0;5;5;6;2;5;47;34;86;56;39
Sokolowska;Iga;7;5;5;2;6;6;6;88;24;3;43
Zawizlak;Agnieszka;8;4;3;6;2;6;87;54;69;96;7
Golunska;Oliwia;8;3;2;4;6;6;99;51;25;89;73
Piskor;Kalina;0;4;6;5;2;4;72;33;40;62;19
Szumala;Blanka;0;4;2;6;2;5;57;88;53;42;49
Jakuszewska;Natalia;1;4;2;2;4;2;68;81;24;15;48
Jezierska;Nadia;6;4;3;2;3;3;43;36;9;88;44
Kisiela;Michal;2;6;2;2;3;3;69;17;84;87;56
Macierzynska;Magdalena;0;6;6;3;2;5;25;23;92;37;40
Sosnowski;Wojciech;8;4;6;4;3;2;12;56;75;76;41
Winiarczyk;Amelia;5;2;5;6;2;5;39;77;37;72;32
Bialkowski;Wiktor;1;3;5;6;2;5;53;25;62;74;81
Lehmann;Marcel;7;6;3;6;4;2;11;8;29;7;38
Gnacinski;Patryk;3;4;6;4;6;2;62;31;64;1;25
Marchewicz;Lucjan;4;4;6;3;2;3;24;33;90;28;23
Zurowski;Adam;5;6;5;6;5;4;92;67;92;79;81
Morawski;Klaudiusz;5;3;4;2;6;6;21;40;18;81;88
Sitarska;Izabella;6;2;3;6;5;4;78;1;9;33;81
Bianga;Zuzanna;8;2;3;4;5;4;65;19;19;8;20
Jank;Natalia;2;2;2;5;5;4;60;79;51;40;16
Janukowicz;Natalia;5;2;3;3;6;3;79;21;41;39;74
Richter;Julia;7;2;6;6;6;5;27;93;10;43;28
Zarzeczanski;Adrian;5;4;6;5;4;4;44;95;15;66;82
Jasik;Natalia;0;6;6;2;4;3;15;15;58;15;87
Krawiec;Mateusz;4;6;6;3;6;2;69;78;32;73;93
Olszowka;Klara;7;3;4;6;3;6;14;42;40;48;35
Wieruszewski;Antoni;5;2;5;6;3;3;90;70;84;62;20
Jarosz;Milosz;1;6;4;3;3;6;79;71;89;26;96
Daczkowska;Weronika;5;5;6;3;4;2;45;46;47;70;56
Kurowska;Paulina;6;5;6;6;5;3;100;44;54;75;64
Jablonski;Nikodem;5;6;5;2;2;2;74;70;43;43;37
Bastian;Witold;8;3;3;4;5;5;78;45;23;91;58
Lsczynska;Magdalena;4;5;3;6;6;3;23;16;85;82;75
Szubiga;Dawid;1;2;5;2;6;6;62;89;20;56;80
Winiarski;Antoni;6;6;5;6;2;4;22;29;31;9;56
Mazurowski;Ksawery;8;3;4;5;2;4;30;10;78;57;67
Olewnik;Klaudia;7;6;4;6;2;2;29;64;39;62;1
Kruz;Maja;3;2;2;3;5;4;32;80;47;98;30
Rutkowski;Mariusz;3;5;2;3;2;6;81;8;48;7;21
