Id_ucznia	Imie	Nazwisko	Klasa
832/2014	Karolina	Gawron	I B
833/2014	Patryk	Grabowski	I B
834/2014	Kamil	Gumowski	I B
835/2014	Joanna	Janik	I B
836/2014	Marcin	Jasinski	I B
837/2014	Adam	Kalczewiak	I B
838/2014	Kornel	Kocicki	I B
839/2014	Wojciech	Krakowski	I B
840/2014	Amadeusz	Langiewicz	I B
841/2014	Marek	Latko	I B
842/2014	Piotr	Lechowicz	I B
843/2014	Piotr	Mazur	I B
844/2014	Sylwia	Mazur	I B
845/2014	Pawel	Mirski	I B
846/2014	Bonifacy	Sfarnicki	I B
847/2014	Karina	Skoniecka	I B
848/2014	Iwona	Wajda	I B
849/2014	Marta	Wilk	I B
850/2014	Agnieszka	Wolej	I B
851/2014	Marcin	Wolski	I B
852/2014	Piotr	Zalesiak	I B
853/2014	Malgorzata	Zak	I B
854/2014	Beata	Bednarska	I A
855/2014	Agata	Blaszczyk	I A
856/2014	Janusz	Czynny	I A
857/2014	Jolanta	Erazmus	I A
858/2014	Juliusz	Janus	I A
859/2014	Irena	Kamilewska	I A
860/2014	Lukasz	Kaminski	I A
861/2014	Teresa	Kaziow	I A
862/2014	Maciej	Klewicki	I A
863/2014	Andrzej	Kozinski	I A
864/2014	Malwina	Krol	I A
865/2014	Lukasz	Laskowski	I A
866/2014	Robert	Lewandowski	I A
867/2014	Julian	Liwen	I A
868/2014	Iza	Makuch	I A
869/2014	Jan	Markowski	I A
870/2014	Magdalena	Mianowska	I A
871/2014	Dominika	Miekus	I A
872/2014	Andrzej	Nowaczek	I A
873/2014	Magdalena	Ochocka	I A
874/2014	Sebastian	Okrasa	I A
875/2014	Kornel	Piekarz	I A
876/2014	Joanna	Rogowska	I A
877/2014	Jerzy	Romanowski	I A
878/2014	Kamil	Rutkowski	I A
879/2014	Alicja	Sibilska	I A
880/2014	Grazyna	Szymczak	I A
881/2014	Karolina	Ustecka	I A
882/2014	Joanna	Wilga	I A
883/2014	Marcin	Wisniewski	I A
884/2014	Agata	Zubilewicz	I A
