"id_klienta"	"imie"	"nazwisko"	"prefix_nip"	"NIP"	"wojewodztwo"	"kod"	"miejscowosc"	"ulica"	"nr_domu"
"BoKi15489"	"Bogusad"	"Kikina"	796	"796-955-69-45"	"lubuskie"	"10-547"	"zuchlow"	"Pl. Staszica Stanislawa"	51
"BoKo15059"	"Borzywoj"	"Kondracki"	778	"778-123-43-27"	"zachodniopomorskie"	"87-630"	"Jadowniki"	"ul. Aleksandry"	9
"BoKo7654"	"Bogurad"	"Kolo"	443	"443-426-99-62"	"zachodniopomorskie"	"64-920"	"Chrzanowo"	"Pl. Witosa Wincentego"	73
"BoKr1889"	"Boleslawa"	"Krema"	184	"184-374-37-96"	"wielkopolskie"	"87-731"	"Bobrowko"	"Al. Schillera Leona"	10
"BoMa7148"	"Bozeciecha"	"Maciurak"	418	"418-179-58-86"	"slaskie"	"40-531"	"Sakowczyk"	"Os. Piastowskie"	88
"BoMi10964"	"Bonifacy"	"Miorowska"	593	"593-637-15-27"	"podkarpackie"	"87-200"	"Gajewo"	"Pl. Rostka Jozefa (Doktora Jozefa Rostka)"	149
"BoRe12912"	"Bozeciecha"	"Reetz"	681	"681-563-68-49"	"warminsko-mazurskie"	"66-429"	"Kalenice"	"Pl. Odrodzenia"	151
"BoRy9910"	"Bogusz"	"Rybasch"	544	"544-668-81-16"	"mazowieckie"	"32-830"	"Warszawa"	"Bulw. Sloneczny"	136
"BoSi5443"	"Bozyslawa"	"Sier"	343	"343-531-54-22"	"zachodniopomorskie"	"63-820"	"Brwilno"	"ul. Andersa Wladyslawa"	152
"BoSm5763"	"Bozeciecha"	"Smytkowski"	356	"356-365-97-62"	"mazowieckie"	"83-140"	"lubienica-Superunki"	"ul. B2"	97
"BoSt12055"	"Bolebor"	"Strinski"	642	"642-688-69-51"	"slaskie"	"90-219"	"Bydgoszcz"	"Al. Armii Krajowej"	152
"BoSt18553"	"Boguta"	"Stepowany"	935	"935-258-25-92"	"zachodniopomorskie"	"87-220"	"Debicze"	"Al. Sienkiewicza Henryka"	79
"BoSt65"	"Boromeusz"	"Stasieczak"	103	"103-698-84-14"	"warminsko-mazurskie"	"89-502"	"Szyszki"	"ul. Akacjowa"	15
"BoSt7563"	"Borzyslawa"	"Stachniewski"	437	"437-575-31-12"	"pomorskie"	"59-216"	"Lutobrok"	"ul. Banacha Stefana"	14
"Bosw13735"	"Boguwola"	"swisiulska"	721	"721-122-98-61"	"mazowieckie"	"82-100"	"Wielun"	"ul. Alabastrowa"	122
"BoSz13970"	"Boguslawa"	"Szpeflicki"	731	"731-282-88-610"	"dolnoslaskie"	"06-300"	"Bukowo"	"Os. Armii Krajowej"	131
"BoSz876"	"Bohdana"	"Szulca"	139	"139-722-99-48"	"podlaskie"	"07-410"	"Dzierzawy"	"Pl. Nowy"	3
"BoTa5758"	"Bogusad"	"Tananko"	356	"356-186-92-34"	"slaskie"	"11-430"	"Trzcianka-Kolonia"	"Pl. Szarych Szeregow"	102
"BoWa19512"	"Boguchwal"	"Warduch"	978	"978-257-17-34"	"pomorskie"	"83-425"	"Warszawa"	"ul. Akwarelowa"	6
"BoWa2041"	"Bogusad"	"Waisbek"	191	"191-268-58-50"	"zachodniopomorskie"	"65-740"	"Chodorazek"	"ul. 11 Listopada"	95
"BoZa8838"	"Borzywoj"	"Zachyla"	497	"497-779-69-41"	"mazowieckie"	"28-230"	"Dylagowka"	"ul. 1 Maja"	67
"BoZi5669"	"Bozymierz"	"Zielowka"	352	"352-563-55-67"	"mazowieckie"	"21-302"	"Bydgoszcz"	"Pl. Nowaka-Jezioranskiego Jana"	15
"BoZy10972"	"Boguta"	"Zylis"	594	"594-294-52-23"	"podkarpackie"	"82-520"	"Sztum"	"Al. Armii Ludowej"	33
"BrBu16323"	"Brykcjusz"	"Burtowa"	834	"834-252-27-710"	"mazowieckie"	"26-922"	"Dabrowiec"	"ul. Aroniowa"	58
"BrGo6343"	"Bronimir"	"Gomber"	382	"382-287-78-48"	"wielkopolskie"	"72-211"	"Bechcice-Wies"	"Pl. Konstytucji 3 Maja"	13
"BrKy17914"	"Bronislawa"	"Kycik"	906	"906-324-34-67"	"lodzkie"	"43-230"	"lodz"	"Al. Legionow"	22
"Brlo13335"	"Bronisz"	"lozyczka"	701	"701-593-97-38"	"lodzkie"	"27-580"	"Knurow"	"Os. Kopernika Mikolaja"	17
"BrSu3409"	"Bronislawa"	"Surobot"	249	"249-866-43-56"	"lubelskie"	"64-200"	"Psary"	"ul. 11 Listopada"	99
"Brsw423"	"Broniwoj"	"swierzbiolek"	118	"118-868-35-910"	"malopolskie"	"08-101"	"Olszewo"	"ul. Bacewicz Grazyny"	130
"BrWi15482"	"Brygida"	"Wilnowiska"	796	"796-696-46-84"	"lodzkie"	"04-718"	"Warszawa"	"ul. Bartla Kazimierza"	85
"BrZa10822"	"Brodzislaw"	"Zawalnik"	586	"586-896-75-45"	"slaskie"	"92-624"	"Kuczyny"	"Pl. swietego Jozefa"	124
"Brzo12727"	"Bronislawa"	"zolnierczykiewicz"	672	"672-656-44-410"	"lubuskie"	"11-200"	"Jemielna"	"Pl. Zamenhofa Ludwika"	31
"BuGe11368"	"Budzimir"	"Gerlach"	611	"611-722-67-92"	"kujawsko-pomorskie"	"05-303"	"Radlin"	"Pl. Pilsudskiego Jozefa (Marszalka Jozefa Pilsudskiego)"	37
"BuWa9338"	"Budzimir"	"Waseznik"	519	"519-241-81-97"	"mazowieckie"	"07-431"	"Jaroslawki"	"Al. Jana Pawla II"	94
"BuWa971"	"Budzigniew"	"Walaszuk"	144	"144-847-83-26"	"lodzkie"	"04-083"	"Przyborow"	"Al. Kasprowicza Jana"	96
"BuWi8499"	"Budziwoj"	"Wilkniewski"	482	"482-482-53-42"	"lubelskie"	"33-112"	"swietochlowice"	"ul. 23 Czerwca"	51
"CaWi9712"	"Carmen"	"Wimiarz"	535	"535-827-11-15"	"slaskie"	"28-210"	"Heliodorowo"	"ul. Amazonitowa"	131
"CeCh12186"	"Celestyn"	"Chabinski"	647	"647-757-13-50"	"podkarpackie"	"27-225"	"Krotoszyn"	"ul. Asnyka Adama"	29
"CeDr16014"	"Cecylia"	"Drozdzewicz"	819	"819-945-24-97"	"slaskie"	"36-245"	"Drutarnia"	"ul. Baluckiego Michala"	19
"CeKa19305"	"Cezaryna"	"Kamkowski"	968	"968-993-24-23"	"malopolskie"	"43-100"	"Legnica"	"Al. Pojednania"	104
"CeKo8224"	"Cecyliusz"	"Kozaryna"	468	"468-829-14-68"	"slaskie"	"88-133"	"Zawiercie"	"Al. Jarzebinowa"	89
"CePt3069"	"Celina"	"Ptaszkowski"	235	"235-692-69-29"	"dolnoslaskie"	"14-133"	"Budziwojow"	"Pl. Bema Jozefa (Generala Jozefa Bema)"	135
"CeSz12346"	"Cezaryna"	"Szarbiewski"	654	"654-754-79-69"	"malopolskie"	"11-430"	"Wyszkow"	"ul. Akacjowa"	109
"CeSz8241"	"Celestyn"	"Szmuklarz"	469	"469-355-91-69"	"kujawsko-pomorskie"	"73-108"	"Lublin"	"ul. 1 Maja"	13
"ChDy5222"	"Chociebor"	"Dyblas"	333	"333-685-87-11"	"lubelskie"	"82-433"	"Wielgie"	"Pl. Orawski"	150
"ChEk6415"	"Chwalimira"	"Ekhaus"	385	"385-418-43-50"	"podlaskie"	"26-930"	"Milikow"	"ul. Bagienna"	26
"ChFi14329"	"Chwalimir"	"Finkelman"	746	"746-791-93-32"	"warminsko-mazurskie"	"20-056"	"Grabno"	"Al. Wojska Polskiego"	122
"ChGr2804"	"Charyzjusz"	"Grzebieniuk"	224	"224-523-28-27"	"slaskie"	"66-460"	"Siedlce"	"Pl. Warynskiego Ludwika"	65
"ChGu10883"	"Chwalibog"	"Gudziewski"	589	"589-524-45-12"	"lodzkie"	"15-657"	"luzna"	"ul. Bankowa"	2
"ChKa7950"	"Chocieslaw"	"Kazuczyk"	456	"456-144-44-46"	"mazowieckie"	"41-800"	"Krakow"	"Os. Bohaterow II Wojny swiatowej"	37
"ChKo115"	"Charyzjusz"	"Korpiela"	105	"105-478-53-31"	"slaskie"	"28-300"	"Poznan"	"ul. 1 Maja"	148
"ChKr4790"	"Chwalislawa"	"Krysi"	313	"313-499-81-210"	"zachodniopomorskie"	"29-100"	"Poznan"	"Os. Dambka Jozefa"	18
"ChLa17211"	"Chociebor"	"Ladwik"	873	"873-345-97-93"	"mazowieckie"	"39-232"	"Krakow"	"ul. 22 Lipca"	24
"ChMa14058"	"Chociebor"	"Martyszewski"	734	"734-659-61-37"	"zachodniopomorskie"	"38-200"	"Siedlec"	"Os. Stare Sady"	16
"ChMa15032"	"Chocieslaw"	"Majurowicz"	776	"776-947-23-65"	"dolnoslaskie"	"43-267"	"Dabrowa Duza"	"Al. Niepodleglosci"	53
"ChNa6225"	"Chrystian"	"Nardini"	376	"376-734-33-19"	"wielkopolskie"	"01-243"	"Walbrzych"	"Bulw. Jasinskiego Tadka"	104
"ChTe2013"	"Chociebor"	"Tepieluk"	189	"189-329-98-63"	"dolnoslaskie"	"59-220"	"luzna"	"ul. 3 Maja"	35
"ChTl17247"	"Chrystian"	"Tloczek"	874	"874-811-18-17"	"slaskie"	"78-326"	"Miaczyn"	"ul. Baczynskiego Krzysztofa Kamila"	24
"CiBa1646"	"Cieszyslawa"	"Balnozan"	174	"174-825-11-30"	"slaskie"	"45-418"	"Wloclawek"	"Al. Grunwaldzka"	97
"CiBa2408"	"Ciechomir"	"Balkowski"	206	"206-445-37-20"	"podkarpackie"	"09-151"	"Czlopy"	"ul. Armii Krajowej"	13
"CiCz8752"	"Cieszyslawa"	"Czernyj"	494	"494-223-92-310"	"kujawsko-pomorskie"	"59-916"	"Jastrzebie-Zdroj"	"ul. Aleje Jerozolimskie"	15
"CiGr590"	"Cieszygor"	"Grzendzinski"	126	"126-241-68-910"	"mazowieckie"	"01-150"	"Plock"	"Al. Pokoju"	80
"CiKr11812"	"Cierpislaw"	"Krylowski"	631	"631-286-57-47"	"mazowieckie"	"61-543"	"Stuzno-Kolonia"	"Al. Jerozolimskie"	2
"CiPo16033"	"Cierpislaw"	"Poddura"	821	"821-586-71-45"	"lodzkie"	"71-791"	"Koszalin"	"Al. Kasprowicza Jana"	65
"CiSi5366"	"Ciechoslawa"	"Siacek"	339	"339-373-13-91"	"lubelskie"	"33-323"	"Kuchary Koscielne"	"Pl. Staszica Stanislawa"	95
"CiUr12210"	"Cieszyslaw"	"Uruszewska"	648	"648-892-64-86"	"warminsko-mazurskie"	"95-045"	"Dabrowka"	"ul. Astronautow"	125
"CyWa10527"	"Cyriaka"	"Wachno"	573	"573-638-55-65"	"slaskie"	"27-530"	"Krakow"	"Os. Zamkowe"	38
"CzCh15621"	"Czechon"	"Chykinska"	802	"802-879-36-74"	"lubelskie"	"95-030"	"Kulesze-Podawce"	"Al. Niepodleglosci"	116
"CzGe16319"	"Czcibor"	"Gemeinert"	834	"834-141-86-96"	"slaskie"	"34-145"	"Gluszyca"	"ul. Bartlomieja"	117
"CzKr16542"	"Czesemir"	"Kramar"	843	"843-577-71-25"	"swietokrzyskie"	"06-400"	"Gdansk"	"Os. Sikorowka"	102
"CzMa5593"	"Czestogniew"	"Makosz"	349	"349-541-65-17"	"slaskie"	"02-912"	"Baran"	"Al. Sikorskiego Wladyslawa (Generala Wladyslawa Sikorskiego)"	61
"CzPo9723"	"Czcibor"	"Posko"	536	"536-262-74-23"	"podlaskie"	"11-200"	"zory"	"Os. Zwyciestwa"	35
"CzSz5619"	"Czestowoj"	"Szewczynko"	351	"351-275-25-110"	"wielkopolskie"	"16-020"	"Dobratycze"	"ul. Baczewskiego Jana"	121
"CzSz9635"	"Czestowoj"	"Szwogier"	533	"533-212-52-43"	"mazowieckie"	"48-304"	"Kielce"	"Pl. Kosciuszki Tadeusza"	55
"CzZi19284"	"Czcibora"	"Ziembkowski"	967	"967-961-87-74"	"zachodniopomorskie"	"59-213"	"Warszawa"	"Os. Zlotej Jesieni"	11
"DaAl19073"	"Dariusz"	"Alexejew"	957	"957-985-62-24"	"podlaskie"	"74-500"	"Rzeszow"	"Al. Jerozolimskie"	38
"DaBr10531"	"Dagna"	"Bretschnejder"	573	"573-725-57-87"	"lodzkie"	"53-608"	"lodz"	"ul. 11 Listopada"	137
"DaBu2409"	"Danisz"	"Burdelski"	206	"206-472-81-34"	"kujawsko-pomorskie"	"26-400"	"Murowaniec"	"Pl. Pokoju"	28
"DaCi5515"	"Dawid"	"Cibuch"	346	"346-115-89-53"	"lodzkie"	"46-325"	"swieradow-Zdroj"	"ul. Andersa Wladyslawa (Generala Wladyslawa Andersa)"	118
"DaCz13657"	"Dalemir"	"Czoczek"	716	"716-744-87-56"	"zachodniopomorskie"	"44-335"	"Lublin"	"ul. 3 Maja"	117
"DaCz873"	"Dagna"	"Czyrak"	139	"139-663-52-810"	"slaskie"	"22-106"	"Opole"	"ul. Arctowskiego Henryka"	112
"DaDy18749"	"Dagmara"	"Dyrdy"	944	"944-496-58-98"	"dolnoslaskie"	"11-040"	"Knieja"	"Al. Niepodleglosci"	62
"DaEl8912"	"Dadabog"	"Elmis"	501	"501-382-16-64"	"podlaskie"	"15-199"	"Krakow"	"ul. 11 Listopada"	102
"DaGr3638"	"Dagna"	"Grachowicz"	261	"261-789-66-48"	"pomorskie"	"87-152"	"Bydgoszcz"	"Osada Rybacka"	34
"DaJe16765"	"Damian"	"Jelita"	854	"854-133-82-81"	"podlaskie"	"84-342"	"Skarzysko-Kamienna"	"ul. Armii Krajowej"	8
"DaJo6385"	"Dawida"	"Jonew"	383	"383-836-53-35"	"podlaskie"	"80-264"	"Boiska"	"ul. Asnyka Adama"	35
"DaKa1675"	"Dalila"	"Kaszmirska"	175	"175-731-37-29"	"kujawsko-pomorskie"	"99-400"	"Sulejowek"	"Pl. Hallera Jozefa"	111
"DaKi5334"	"Dalebor"	"Kiempowicz"	338	"338-223-46-48"	"malopolskie"	"31-007"	"Lublin"	"Droga Kurpiowska"	23
"DaKo16217"	"Dan"	"Kolaza"	828	"828-395-36-44"	"kujawsko-pomorskie"	"47-330"	"Glazewo-Cholewy"	"ul. Armii Krajowej"	16
"Dale19245"	"Dajana"	"leske"	966	"966-469-68-16"	"podkarpackie"	"38-350"	"Zawiercie"	"ul. Bandtkich"	16
"DaMa6623"	"Daria"	"Marcywolski"	394	"394-959-31-92"	"lodzkie"	"52-200"	"Wilkoszyce"	"Os. Bielskie"	82
"DaNa14142"	"Dan"	"Nastrabas"	737	"737-616-59-10"	"lodzkie"	"26-700"	"Szklarka Myslniewska"	"Pl. Dworcowy"	107
"DaPa12181"	"Dalia"	"Panczykowski"	647	"647-573-79-90"	"wielkopolskie"	"09-530"	"Zalesie"	"Park im. 3 Dywizji Piechoty"	131
"DaPa18210"	"Dan"	"Pachnia"	919	"919-894-99-19"	"malopolskie"	"40-527"	"Psary"	"Pl. Henkla Dionizego"	64
"DaPi12891"	"Danuta"	"Pinczykowski"	679	"679-756-44-66"	"swietokrzyskie"	"85-829"	"Biskupiec"	"Al. Przyjazni"	131
"DaRo19288"	"Dajana"	"Rozmajta"	968	"968-155-42-17"	"malopolskie"	"38-246"	"Czechowice-Dziedzice"	"ul. Astrow"	13
"DaSi19655"	"Dariusz"	"Silaff"	985	"985-216-44-12"	"lubelskie"	"03-036"	"Sosnowiec"	"ul. 17 Stycznia"	46
"DaSt4844"	"Dajana"	"Stieler"	315	"315-674-32-19"	"podlaskie"	"84-352"	"Obrzycko"	"ul. Armatorow"	8
"DaSt7022"	"Damazy"	"Stryjkowski"	413	"413-238-53-64"	"slaskie"	"80-313"	"Ruda slaska"	"Os. Wichrowe Wzgorze"	37
"DaSt8231"	"Damazy"	"Steblinski"	468	"468-989-25-86"	"podlaskie"	"21-421"	"Gdansk"	"Al. Grzecznarowskiego Jozefa"	2
"DaSz1027"	"Damaris"	"Szladow"	146	"146-825-99-46"	"wielkopolskie"	"39-100"	"Kolobrzeg"	"ul. Barlickiego Norberta"	32
"DaSz19425"	"Dagobert"	"Szapowal"	974	"974-865-23-53"	"lodzkie"	"78-431"	"Orzelek"	"Al. smiglego-Rydza Edwarda (Marszalka Edwarda smiglego-Rydza)"	90
"DaUr910"	"Dawida"	"Urszulski"	142	"142-741-16-610"	"slaskie"	"26-610"	"Czeremcha"	"ul. Barcicka"	64
"DaWa10666"	"Damaris"	"Walida"	579	"579-987-74-99"	"kujawsko-pomorskie"	"86-100"	"Bierzglowo"	"Pl. Curie-Sklodowskiej Marii"	47
"DaWa8999"	"Dajana"	"Wasniczuk"	504	"504-883-92-31"	"pomorskie"	"80-298"	"Wroclaw"	"Al. Warszawska"	25
"DaWe1653"	"Dariusz"	"Wendyszewska"	175	"175-125-73-90"	"kujawsko-pomorskie"	"11-710"	"Popeszyce"	"Pl. Jana Pawla II"	83
"DaWo13304"	"Dadabog"	"Wollersdorfer"	699	"699-334-59-38"	"pomorskie"	"64-830"	"Jaslo"	"Os. Jagiellonskie"	57
"DaZd4484"	"Dawida"	"Zdzierzynski"	298	"298-237-35-82"	"slaskie"	"93-520"	"Starogrod"	"ul. Bacewiczowny Grazyny"	151
"DeBa18208"	"Dezyderia"	"Bartlowicz"	919	"919-756-51-72"	"mazowieckie"	"19-400"	"Plock"	"ul. Afrodyty"	106
"DeBi8933"	"Delfin"	"Biczewnik"	502	"502-181-89-84"	"pomorskie"	"29-105"	"Gliwice"	"Pl. Cukrowni"	110
"DeBo13705"	"Demetria"	"Boczkaj"	718	"718-523-59-53"	"wielkopolskie"	"58-500"	"Brusiek"	"Os. Handlowe"	142
"DeDz14686"	"Demetria"	"Dziecina"	762	"762-489-75-71"	"mazowieckie"	"26-910"	"Glogow"	"ul. 11 Listopada"	49
"DeFi18450"	"Dezyderiusz"	"Findura"	931	"931-639-23-42"	"wielkopolskie"	"44-164"	"Konskie"	"ul. Armii Krajowej"	99
"DeGr13869"	"Delfina"	"Grabienczyk"	726	"726-456-84-71"	"wielkopolskie"	"85-769"	"Przemysl"	"Al. Sikornik"	41
"DeKa2502"	"Demetria"	"Kajraniec"	211	"211-191-31-18"	"malopolskie"	"19-500"	"Warszawa"	"Szosa Torunska"	36
"DeKl558"	"Demokryt"	"Kleinbergier"	125	"125-287-77-37"	"zachodniopomorskie"	"63-400"	"Wloclawek"	"Al. Wilanowska"	98
"DeKo10573"	"Derslaw"	"Kobial"	575	"575-653-82-27"	"podkarpackie"	"87-600"	"Pinczyn"	"Os. Na Wzgorzach"	38
"DeKu6980"	"Dezyderia"	"Kumiszcze"	411	"411-546-14-82"	"swietokrzyskie"	"87-140"	"Szczecin"	"Os. Wandy"	63
"DeMa11725"	"Delfin"	"Markopolsky"	626	"626-387-18-18"	"slaskie"	"75-256"	"Krakow"	"Al. Pilsudskiego Jozefa"	31
"DePu8703"	"Delfin"	"Pucia"	492	"492-138-73-78"	"wielkopolskie"	"60-332"	"Czerniejow"	"ul. Astronomiczna"	98
"DeSu1995"	"Denis"	"Suboszenko"	188	"188-753-91-71"	"podkarpackie"	"05-180"	"Zbojno"	"ul. Azaliowa"	22
"DiAj2020"	"Dina"	"Ajnchord"	189	"189-538-43-310"	"swietokrzyskie"	"62-230"	"Ruda slaska"	"ul. Armii Krajowej"	36
"DiGo16261"	"Diomeda"	"Gostkowski"	831	"831-541-35-38"	"dolnoslaskie"	"43-378"	"Warszawka"	"Pl. Kilinskiego Jana"	6
"DiOz12275"	"Diana"	"Ozogowicz"	652	"652-537-82-67"	"mazowieckie"	"07-411"	"Bydgoszcz"	"ul. 42 Pulku Piechoty"	59
"DiPo6129"	"Diana"	"Podmajstrzyk"	372	"372-873-81-95"	"mazowieckie"	"78-220"	"swidnica"	"Al. Pod Kasztanami"	39
"DiRy10656"	"Diomeda"	"Ryzewski"	579	"579-414-17-410"	"warminsko-mazurskie"	"78-123"	"Zakopane"	"ul. Akacjowa"	142
"DiSt6586"	"Ditta"	"Stibbe"	393	"393-381-29-87"	"slaskie"	"46-312"	"Warszawa"	"ul. Atutowa"	16
"DiSy11659"	"Diogenes"	"Sywno"	624	"624-139-58-13"	"podlaskie"	"73-231"	"Tarnowskie Gory"	"Pl. swietego Mikolaja"	122
"DiWi8911"	"Diomeda"	"Wierucki"	501	"501-349-13-91"	"podlaskie"	"99-300"	"Grudziadz"	"Al. Niepodleglosci"	130
"DoAb4026"	"Dobrowit"	"Abtan"	278	"278-184-83-63"	"kujawsko-pomorskie"	"87-810"	"Czekaj"	"Pl. Wolnosci"	132
"DoAj7506"	"Dobieslawa"	"Ajzner"	434	"434-936-97-91"	"podkarpackie"	"25-820"	"Siewierz"	"ul. Andrukiewicza Stanislawa (Ksiedza Stanislawa Andrukiewicza)"	48
"DoAr19493"	"Dobromila"	"Armada"	977	"977-487-54-60"	"warminsko-mazurskie"	"09-407"	"Grodzisk Wielkopolski"	"ul. Bacholinska"	106
"DoBo5059"	"Domaslawa"	"Bogdzio"	325	"325-964-15-94"	"lodzkie"	"44-230"	"Krakow"	"ul. 1 Maja"	60
"DoCh11615"	"Dobrocha"	"Chaplewska"	622	"622-474-41-68"	"opolskie"	"43-502"	"Warszawa"	"ul. Akacjowa"	53
"DoCi4092"	"Dobrogost"	"Ciemniak"	282	"282-151-79-69"	"opolskie"	"93-219"	"Bydgoszcz"	"Skw. leskiego Zygmunta (Druha Zygmunta leskiego)"	76
"DoCz315"	"Dolores"	"Czapinski"	115	"115-216-68-24"	"podlaskie"	"07-311"	"Dankowice"	"Szosa Nakielska"	62
"DoDz12323"	"Dominik"	"Dziewota"	654	"654-124-66-32"	"swietokrzyskie"	"20-368"	"Piekielnik"	"Al. Wojska Polskiego"	30
"DoGi5797"	"Dominik"	"Gielczewski"	357	"357-241-38-68"	"mazowieckie"	"42-160"	"Golasowice"	"ul. 11 Listopada"	134
"DoGr7355"	"Dobiemir"	"Gras"	427	"427-825-58-46"	"slaskie"	"18-400"	"Katowice"	"ul. Azaliowa"	115
"DoHa2807"	"Dobrawa"	"Haup"	224	"224-574-28-18"	"slaskie"	"58-500"	"Obromino"	"Pl. Kopernika Mikolaja"	49
"DoHo4441"	"Dobrochna"	"Hodyr"	296	"296-834-44-95"	"zachodniopomorskie"	"05-510"	"Pienczykowek"	"ul. Bagno"	33
"DoJa3676"	"Dobroniega"	"Jarmakow"	263	"263-513-85-33"	"podkarpackie"	"08-400"	"Wolow"	"ul. 16 Pulku Ulanow Wielkopolskich"	141
"DoJa4090"	"Dobrowoj"	"Jasschke"	282	"282-114-77-22"	"lodzkie"	"42-270"	"Lipowy Most"	"Pl. Blonie-Beszcz"	100
"DoKa3816"	"Domamir"	"Kawalowski"	269	"269-279-66-67"	"malopolskie"	"81-411"	"Krakow"	"ul. Astrow"	42
"DoKi17115"	"Dorian"	"Kierlinski"	869	"869-192-48-99"	"kujawsko-pomorskie"	"41-200"	"Ciochowice"	"Pl. Pocztowy"	45
"DoKo33"	"Dorota"	"Korps"	102	"102-415-46-89"	"opolskie"	"07-304"	"Ciekoty"	"Pl. Powstancow slaskich"	132
"DoKs6978"	"Donat"	"Ksiezka"	411	"411-497-25-65"	"malopolskie"	"59-330"	"Marcinkowo"	"Pasaz Natolinski"	92
"DoLi19178"	"Dominika"	"Lisoski"	963	"963-999-64-58"	"wielkopolskie"	"07-300"	"Gryfino"	"Al. Warszawska"	93
"DoMa11234"	"Domicela"	"Mardziak"	605	"605-379-87-42"	"podkarpackie"	"58-100"	"Huta Minska"	"Al. Wojska Polskiego"	122
"DoMa8498"	"Dobrogniew"	"Malisius"	482	"482-471-96-34"	"malopolskie"	"87-860"	"Gliwice"	"Pl. Grunwaldzki"	90
"DoMi8415"	"Dobislawa"	"Mironczuk-Ossowski"	477	"477-666-91-33"	"dolnoslaskie"	"80-453"	"Warszawa"	"Os. Matejki Jana"	108
"DoMo8573"	"Domaslaw"	"Mosztal"	485	"485-459-79-48"	"podkarpackie"	"67-210"	"Krakow"	"Os. swierczewskiego Karola (Generala Karola swierczewskiego)"	43
"DoNa14933"	"Dobromila"	"Nagi"	772	"772-873-86-91"	"lubelskie"	"03-762"	"Lubla"	"Al. 1 Maja"	81
"DoOl7472"	"Dobromira"	"Oleszczek"	433	"433-365-93-910"	"mazowieckie"	"00-904"	"Warszawa"	"ul. Armii Krajowej"	40
"DoPi17354"	"Dobislawa"	"Pietsz"	879	"879-198-43-75"	"zachodniopomorskie"	"17-111"	"Kornica"	"ul. 1 Maja"	75
"DoPo17498"	"Dobieslawa"	"Postrowska"	886	"886-348-66-10"	"mazowieckie"	"02-717"	"Radom"	"ul. 11 Listopada"	16
"DoPo8369"	"Donat"	"Pocent"	475	"475-784-96-21"	"pomorskie"	"91-526"	"lodz"	"Al. Jana Pawla II"	102
"DoRa4119"	"Dobronieg"	"Rarczynska"	283	"283-341-39-74"	"zachodniopomorskie"	"48-250"	"lodz"	"ul. Armii Krajowej"	110
"DoRa7632"	"Domamir"	"Ragiel"	442	"442-258-74-32"	"lubelskie"	"57-220"	"Chorzow"	"ul. Architektow"	97
"DoRe16172"	"Dobrowit"	"Reyniak"	826	"826-659-38-55"	"podlaskie"	"01-553"	"Wiatrowiec"	"Al. smidowicza Jana (Inzyniera Jana smidowicza)"	141
"DoSi14150"	"Dobrowiest"	"Sihinkiewicz"	737	"737-948-31-25"	"mazowieckie"	"41-500"	"Kedzierzyn-Kozle"	"Al. Zwyciestwa"	11
"DoSi18430"	"Dobrowoj"	"Siakantaris"	929	"929-922-93-74"	"mazowieckie"	"85-790"	"Brzozowiec"	"ul. Antoniewska"	28
"DoWe6009"	"Domoslawa"	"Wernd"	366	"366-754-39-90"	"wielkopolskie"	"28-114"	"Krakow"	"Os. Wygoda"	65
"DoWu5034"	"Domoslaw"	"Wuttig"	324	"324-513-84-60"	"warminsko-mazurskie"	"22-200"	"Guzowatka"	"ul. Artych Sabiny"	84
"DoZa3614"	"Dobrowoj"	"Zagutka"	261	"261-389-55-11"	"podkarpackie"	"34-652"	"Mirzec"	"Al. Boleslawa Krzywoustego"	26
"DoZo14603"	"Donata"	"Zosgornik"	758	"758-217-73-54"	"wielkopolskie"	"96-502"	"Gryzyce"	"Os. Centrum D"	60
"DrCh18604"	"Dragomir"	"Charusta"	937	"937-228-64-28"	"pomorskie"	"01-980"	"lomnica"	"ul. Bajeczna"	81
"DrDz8143"	"Drogomysl"	"Dzyc"	465	"465-149-99-410"	"pomorskie"	"64-920"	"Pradowka"	"Pl. Nowaka-Jezioranskiego Jana"	4
"DrGl18643"	"Drogoslaw"	"Glabasnia"	938	"938-822-65-90"	"lodzkie"	"07-440"	"Stanislawow"	"ul. Akacjowa"	6
"DrKa3807"	"Drogoslawa"	"Kaluzka"	268	"268-994-78-510"	"lodzkie"	"63-300"	"Mycielin"	"ul. 1 Maja"	146
"DrNi16103"	"Drogoslaw"	"Nicolaus"	823	"823-749-62-210"	"podkarpackie"	"14-411"	"Wojsze"	"Al. Jana Pawla II"	153
"DuKu19646"	"Duszan"	"Kusznirewko"	984	"984-785-84-22"	"mazowieckie"	"83-132"	"Bialystok"	"ul. 14 Pulku Piechoty"	153
"DuMe18786"	"Duszan"	"Mecznik"	945	"945-524-29-210"	"pomorskie"	"26-922"	"Jaworzno"	"ul. Amundsena Roalda"	141
"DuRy9442"	"Duszan"	"Ryl-Krystianowski"	524	"524-919-69-89"	"podkarpackie"	"27-650"	"Krakow"	"ul. Astronautow"	141
"DyEs7169"	"Dymitriusz"	"Esterajcher"	418	"418-783-21-66"	"podlaskie"	"61-663"	"Boncza"	"ul. Bajkowa"	154
"DyGl15545"	"Dymitr"	"Glaszuka"	799	"799-151-19-16"	"kujawsko-pomorskie"	"78-450"	"Rawicz"	"Al. Jana Pawla II"	35
